"";"player_id";"fantasy_pts";"year";"sleeper_id"
"532";"12193";"14.5";"2018";"4602"
"533";"12145";"42.7";"2018";"4536"
"534";"12122";"0";"2018";"4323"
"535";"12051";"7.2";"2018";"4421"
"536";"12037";"2.9";"2018";"4660"
"537";"12020";"57.3";"2018";"4531"
"538";"11909";"12.6";"2018";"4221"
"539";"11905";"23.2";"2018";"4153"
"540";"11901";"187.3";"2018";"4217"
"541";"11900";"12.5";"2018";"4151"
"542";"11882";"32.5";"2018";"4164"
"543";"11855";"52.8";"2018";"4144"
"544";"11800";"13.3";"2018";"4085"
"545";"11799";"68.1";"2018";"4089"
"546";"11778";"85.2";"2018";"4066"
"547";"11774";"103.5";"2018";"4055"
"548";"11139";"0";"2018";"3715"
"549";"10960";"2.1";"2018";"3612"
"550";"10931";"1.9";"2018";"3595"
"551";"10811";"0";"2018";"3333"
"552";"10744";"48.1";"2018";"3271"
"553";"10211";"12.2";"2018";"3048"
"554";"10144";"0";"2018";"2751"
"555";"10135";"5.8";"2018";"2653"
"556";"10018";"1";"2018";"2686"
"557";"9840";"37.2";"2018";"2944"
"558";"9786";"11.2";"2018";"2755"
"559";"9679";"43.2";"2018";"2545"
"560";"9662";"0";"2018";"2528"
"561";"9637";"8.8";"2018";"2505"
"562";"9635";"12.3";"2018";"2503"
"563";"9627";"18.6";"2018";"2495"
"564";"9604";"32.8";"2018";"2474"
"565";"9576";"17.1";"2018";"2446"
"566";"9525";"55.6";"2018";"2397"
"567";"9518";"5.6";"2018";"2390"
"568";"9488";"29.1";"2018";"2360"
"569";"9207";"74";"2018";"2214"
"570";"9107";"0";"2018";"1891"
"571";"9092";"8.5";"2018";"2082"
"572";"8755";"13.7";"2018";"2251"
"573";"8679";"0";"2018";"1814"
"574";"8549";"34.4";"2018";"1592"
"575";"8524";"40.4";"2018";"1619"
"576";"8520";"48.5";"2018";"1706"
"577";"8200";"32.5";"2018";"1777"
"578";"7982";"41.2";"2018";"1425"
"579";"7940";"15.2";"2018";"1603"
"580";"7888";"1.9";"2018";"1357"
"581";"7844";"234.4";"2018";"1466"
"582";"7836";"102.6";"2018";"1587"
"583";"7816";"218.3";"2018";"1339"
"584";"7406";"16.2";"2018";"1718"
"585";"7274";"23.5";"2018";"1223"
"586";"7128";"45.7";"2018";"1211"
"587";"6356";"36.5";"2018";"868"
"588";"6326";"27.9";"2018";"801"
"589";"6311";"30.3";"2018";"812"
"590";"6307";"14.5";"2018";"918"
"591";"6256";"27.3";"2018";"963"
"592";"6195";"115.5";"2018";"943"
"593";"5795";"17.2";"2018";"587"
"594";"5619";"99.5";"2018";"616"
"595";"5595";"38.3";"2018";"701"
"596";"5173";"0";"2018";"757"
"597";"5012";"155.3";"2018";"367"
"598";"3647";"66.6";"2018";"58"
"599";"3120";"7.2";"2018";"284"
"600";"2973";"5.4";"2018";"111"
"601";"1753";"65.6";"2018";"663"
"602";"1609";"58.3";"2018";"322"
"603";"46601";"276.4";"2019";"4984"
"604";"46586";"8.6";"2019";"5108"
"605";"46569";"103.9";"2019";"4972"
"606";"46518";"207.1";"2019";"4892"
"607";"46508";"41.5";"2019";"6450"
"608";"46426";"25.7";"2019";"5885"
"609";"46416";"410.7";"2019";"4881"
