Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende
Tee Higgins;61211;2022;10;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;11;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;12;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;13;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;14;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;15;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;16;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;0;Lutz1904;6230000;1557500;;;;;Roster;;2024
Tee Higgins;61211;2023;1;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;2;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;3;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;4;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;5;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;6;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;7;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;8;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;9;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;10;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;11;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;12;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;13;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;14;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;15;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2023;16;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2024;0;Lutz1904;6230000;24920000;;;;;Roster;;2024
Tee Higgins;61211;2024;1;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;2;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;3;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;4;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;5;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;6;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;7;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;8;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;9;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;10;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;11;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;12;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;13;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;14;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;15;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Tee Higgins;61211;2024;16;Lutz1904;6230000;24920000;389375;1557500;;16;Roster;;2024
Drew Lock;39517;2021;0;Lutz1904;2100000;2100000;;;;;Roster;;2024
Drew Lock;39517;2021;1;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;2;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;3;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;4;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;5;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;6;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;7;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
Drew Lock;39517;2021;8;Lutz1904;2100000;2100000;131250;131250;;16;Roster;;2024
