"";"player_id";"fantasy_pts";"year";"sleeper_id";"position"
"549";"12078";"9.1";"2019";"4054";"TE"
"550";"12051";"44.3";"2019";"4421";"TE"
"551";"12037";"0.9";"2019";"4660";"TE"
"552";"12020";"46.8";"2019";"4531";"TE"
"553";"11909";"26.1";"2019";"4221";"TE"
"554";"11901";"154.4";"2019";"4217";"TE"
"555";"11855";"86";"2019";"4144";"TE"
"556";"11800";"7.3";"2019";"4085";"TE"
"557";"11799";"53.6";"2019";"4089";"TE"
"558";"11784";"4.7";"2019";"4033";"TE"
"559";"11774";"60.8";"2019";"4055";"TE"
"560";"11335";"7.8";"2019";"3465";"TE"
"561";"11326";"0";"2019";"3824";"TE"
"562";"11266";"0";"2019";"3774";"TE"
